"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000000003"	1669	1746	1154	1319	1492	1265
"ENSG00000000005"	3	0	0	1	0	2
"ENSG00000000419"	5097	5407	3552	4640	5216	4412
"ENSG00000000457"	158	173	136	113	97	145
"ENSG00000000460"	875	850	650	481	635	618
"ENSG00000000971"	103	74	27	100	91	78
"ENSG00000001036"	255	269	277	238	245	157
"ENSG00000001084"	223	312	166	193	315	140
"ENSG00000001167"	190	167	136	91	71	54
"ENSG00000001460"	469	318	475	268	297	297
"ENSG00000001461"	547	586	468	333	436	398
"ENSG00000001497"	4496	4748	2099	3557	4072	2230
"ENSG00000001561"	55	37	53	39	43	29
"ENSG00000001617"	30	21	3	18	36	9
"ENSG00000001626"	0	2	0	0	3	1
"ENSG00000001629"	54	53	43	31	27	20
"ENSG00000001630"	763	674	565	578	624	318
"ENSG00000001631"	952	978	1011	561	509	415
"ENSG00000002016"	265	139	160	78	87	63
"ENSG00000002079"	6	5	5	2	2	5
"ENSG00000002330"	656	354	383	462	442	149
"ENSG00000002549"	1806	1893	1074	1415	1721	1270
"ENSG00000002586"	9398	9487	7078	8876	8633	5899
"ENSG00000002587"	1	0	3	1	1	1
"ENSG00000002745"	14	30	26	13	10	8
"ENSG00000002746"	12	23	26	34	63	35
"ENSG00000002822"	215	165	123	225	130	70
"ENSG00000002834"	269	232	246	185	184	133
"ENSG00000002919"	312	207	168	299	306	136
"ENSG00000002933"	0	0	1	0	0	0
"ENSG00000003056"	1443	1300	647	917	1001	601
"ENSG00000003096"	274	416	178	216	270	146
"ENSG00000003137"	1	4	9	6	1	0
"ENSG00000003147"	74	60	121	85	84	68
"ENSG00000003249"	452	355	339	325	237	262
"ENSG00000003393"	380	425	420	381	484	298
"ENSG00000003400"	186	190	222	189	157	165
"ENSG00000003402"	962	566	697	552	527	471
"ENSG00000003436"	375	271	362	213	200	326
"ENSG00000003509"	431	390	227	230	300	239
"ENSG00000003756"	719	745	629	499	336	327
"ENSG00000003987"	60	24	31	30	43	18
"ENSG00000003989"	536	666	347	385	471	325
"ENSG00000004059"	3681	2472	1980	2862	2434	1632
"ENSG00000004139"	67	52	43	31	33	34
"ENSG00000004142"	916	576	542	742	710	319
"ENSG00000004399"	87	112	54	94	65	42
"ENSG00000004455"	34332	33750	21632	25747	26545	15634
"ENSG00000004468"	134	91	80	171	83	57
"ENSG00000004478"	2803	1719	969	1837	1406	587
"ENSG00000004487"	1909	2057	1119	1181	1655	1047
"ENSG00000004534"	1229	1307	1028	992	776	735
"ENSG00000004660"	115	151	73	160	193	108
"ENSG00000004700"	283	242	145	186	194	146
"ENSG00000004766"	300	376	155	186	200	86
"ENSG00000004776"	0	0	0	0	0	1
"ENSG00000004777"	25	41	31	40	18	6
"ENSG00000004779"	7212	6370	3788	6586	5534	4437
"ENSG00000004799"	2	1	0	2	3	2
"ENSG00000004838"	6	3	23	2	8	2
"ENSG00000004846"	6	16	6	3	0	0
"ENSG00000004864"	814	624	383	505	616	315
"ENSG00000004866"	377	477	322	336	368	237
"ENSG00000004897"	660	495	492	364	357	295
"ENSG00000004939"	0	0	4	0	0	1
"ENSG00000004948"	1	0	0	1	0	0
"ENSG00000004961"	580	510	318	597	652	364
"ENSG00000004975"	192	156	106	111	147	90
"ENSG00000005007"	1145	986	589	917	891	422
"ENSG00000005020"	174	136	174	74	84	72
"ENSG00000005022"	12632	14171	8723	10520	11017	9576
"ENSG00000005059"	487	266	248	322	226	131
"ENSG00000005073"	168	251	86	139	181	93
"ENSG00000005075"	4418	4352	3531	4603	4148	2916
"ENSG00000005100"	162	149	113	100	118	84
"ENSG00000005102"	3	3	0	2	0	0
"ENSG00000005108"	2	1	0	0	0	0
"ENSG00000005156"	388	354	343	265	261	180
"ENSG00000005175"	785	733	497	708	490	561
"ENSG00000005187"	73	61	52	47	51	59
"ENSG00000005189"	195	101	142	106	76	91
"ENSG00000005194"	1665	1785	1022	1755	1605	1253
"ENSG00000005206"	46	25	47	41	22	30
"ENSG00000005238"	2	6	48	2	11	12
"ENSG00000005243"	0	0	0	1	0	0
"ENSG00000005249"	421	381	251	176	241	187
"ENSG00000005302"	620	773	504	415	354	412
"ENSG00000005339"	935	618	1033	554	331	388
"ENSG00000005379"	0	0	0	1	0	0
"ENSG00000005421"	0	0	1	0	0	0
"ENSG00000005436"	757	570	400	489	487	421
"ENSG00000005448"	1457	1561	1510	1086	1318	1362
"ENSG00000005469"	132	83	58	53	72	72
"ENSG00000005471"	26	7	38	16	10	6
"ENSG00000005483"	579	509	438	316	375	253
"ENSG00000005486"	983	833	1014	1246	1366	1174
"ENSG00000005513"	4	0	14	6	20	0
"ENSG00000005700"	390	313	273	254	319	201
"ENSG00000005801"	2110	1826	1676	1658	2042	1663
