Reference	s37rep1	s37rep2	s37rep3	s32rep2	s32rep1	s32rep3
ENST00000510231.1	33332.0	40425.0	51345.0	43749.0	33016.0	56342.0
ENST00000245458.11	28141.0	30671.0	33942.0	30012.0	28933.0	34823.0
ENST00000651669.1	13423.0	14440.0	16606.0	13325.0	13019.0	15704.0
ENST00000361851.1	12197.0	9902.0	10314.0	9455.0	11810.0	10352.0
ENST00000343986.9	10361.0	11178.0	11858.0	10715.0	10157.0	11614.0
ENST00000515896.1	9857.0	6114.0	9293.0	12802.0	7884.0	16199.0
ENST00000361575.4	9611.0	10144.0	11267.0	9921.0	9663.0	11160.0
ENST00000420712.1	9517.0	10192.0	10893.0	9615.0	9178.0	10445.0
ENST00000363564.1	8633.0	5397.0	8078.0	11351.0	6957.0	14366.0
ENST00000647841.1	7706.0	7877.0	7853.0	7897.0	7773.0	7969.0
ENST00000501597.3	7466.0	8183.0	9302.0	8003.0	7910.0	9006.0
ENST00000221975.6	6769.0	7010.0	7357.0	6583.0	6921.0	6775.0
ENST00000467115.1	6695.0	5137.0	5616.0	4943.0	6570.0	5712.0
ENST00000643794.1	6285.0	6757.0	7777.0	6237.0	6095.0	7356.0
ENST00000593863.5	5697.0	5891.0	6158.0	5551.0	5768.0	5679.0
ENST00000348462.6	5600.0	5736.0	5022.0	5835.0	5787.0	5380.0
ENST00000617731.2	5399.0	5518.0	5478.0	5537.0	5453.0	5579.0
ENST00000321153.9	5196.0	5682.0	5987.0	5236.0	5273.0	5469.0
ENST00000584577.5	5152.0	5600.0	4960.0	5582.0	5319.0	5598.0
ENST00000579649.5	4830.0	5065.0	5162.0	4823.0	4867.0	4973.0
ENST00000230050.4	4800.0	4903.0	5225.0	4834.0	4965.0	5416.0
ENST00000358888.7	4619.0	5068.0	5825.0	4888.0	4849.0	5526.0
ENST00000439602.7	4581.0	4807.0	5094.0	4501.0	4514.0	4598.0
ENST00000569365.6	4365.0	4512.0	5127.0	4468.0	4437.0	5079.0
ENST00000648839.1	4122.0	4302.0	4676.0	4242.0	4184.0	4756.0
ENST00000493224.5	4109.0	4416.0	5101.0	4077.0	3985.0	4807.0
ENST00000600467.6	4086.0	4225.0	4432.0	3967.0	4173.0	4082.0
ENST00000253788.12	4008.0	4162.0	4068.0	4063.0	3985.0	4259.0
ENST00000304312.5	3977.0	4222.0	3308.0	4377.0	4203.0	4059.0
ENST00000546591.6	3874.0	4250.0	4817.0	4133.0	4091.0	4650.0
ENST00000311549.11	3796.0	3607.0	3557.0	3686.0	3911.0	4201.0
ENST00000211372.9	3777.0	3963.0	4196.0	3712.0	3723.0	3790.0
ENST00000454021.6	3775.0	3964.0	4198.0	3712.0	3726.0	3788.0
ENST00000434122.2	3775.0	3961.0	4199.0	3713.0	3723.0	3789.0
ENST00000457341.6	3774.0	3964.0	4198.0	3711.0	3724.0	3789.0
ENST00000563390.5	3760.0	3884.0	4378.0	3845.0	3820.0	4353.0
ENST00000583011.6	3641.0	3801.0	4132.0	3749.0	3697.0	4202.0
ENST00000628770.2	3470.0	3674.0	3903.0	3506.0	3467.0	3972.0
ENST00000527673.2	3469.0	3674.0	3903.0	3506.0	3467.0	3972.0
ENST00000633731.1	3452.0	3511.0	3495.0	3514.0	3475.0	3547.0
ENST00000396651.8	3448.0	3595.0	3703.0	3437.0	3500.0	3592.0
ENST00000448864.6	3436.0	3591.0	3636.0	3641.0	3552.0	3789.0
ENST00000347512.8	3297.0	3434.0	3455.0	3303.0	3345.0	3319.0
ENST00000394580.2	3294.0	3417.0	3465.0	3270.0	3312.0	3308.0
ENST00000272274.8	3273.0	3110.0	3063.0	3174.0	3369.0	3617.0
ENST00000273223.10	3240.0	3425.0	3689.0	3328.0	3091.0	3482.0
ENST00000361335.1	3160.0	2453.0	1876.0	1887.0	1977.0	1703.0
ENST00000484616.2	3157.0	3227.0	3464.0	3167.0	3260.0	3555.0
ENST00000556230.2	3142.0	3426.0	3765.0	3354.0	3228.0	3878.0
ENST00000525634.6	3129.0	3155.0	3287.0	3203.0	3224.0	3346.0
ENST00000631368.2	3104.0	3288.0	3497.0	3140.0	3103.0	3560.0
