;names;X206685390167_R02C01;X206685390167_R03C01;X206685390167_R04C01;X206685390167_R05C01;X206685390167_R06C01;X206685390167_R08C01
cg01212840;cg01212840;0,699240216;0,702401969;0,71091765;0,720266576;0,706607382;0,666981667
cg16578815;cg16578815;0,058268171;0,041562814;0,064253601;0,05254842;0,050253415;0,043947168
cg02491754;cg02491754;0,197881358;0,19766986;0,23211825;0,221683735;0,223018924;0,185276533
cg13075709;cg13075709;0,034291834;0,028553698;0,037893512;0,045025728;0,039112015;0,030916117
cg05238461;cg05238461;0,039638203;0,02991434;0,034298953;0,031367232;0,036668392;0,021951236
cg01599904;cg01599904;0,024378645;0,026687199;0,022456162;0,022039004;0,021915858;0,014943392
cg26652092;cg26652092;0,033861166;0,031653302;0,03328621;0,034260825;0,030312986;0,022982827
cg08962767;cg08962767;0,067429277;0,06049644;0,053734089;0,082683162;0,064279227;0,055136667
cg00495415;cg00495415;0,024974001;0,021956085;0,023476034;0,031178342;0,024911984;0,025433163
cg23598562;cg23598562;0,022296216;0,020895165;0,017705708;0,022015764;0,017159036;0,018745243
cg20163807;cg20163807;0,012101529;0,013570551;0,012600983;0,014157394;0,01686054;0,018141456
cg12857166;cg12857166;0,040009902;0,040740177;0,033290201;0,056400469;0,054581411;0,054870239
