;names;X206685390167_R02C01;X206685390167_R03C01;X206685390167_R04C01;X206685390167_R05C01;X206685390167_R06C01;X206685390167_R08C01
cg23001905;cg23001905;0,763227046;0,739854174;0,778132252;0,726137674;0,707976243;0,718900926
cg10667102;cg10667102;0,565727786;0,534822275;0,669714752;0,496550136;0,517286035;0,588719658
cg09834951;cg09834951;0,04200071;0,034924617;0,035051954;0,038794679;0,040371197;0,041156244
cg00073090;cg00073090;0,03203951;0,036798344;0,027015798;0,045829883;0,024751008;0,03030784
cg02917867;cg02917867;0,08721399;0,087370978;0,118253552;0,075376921;0,070308578;0,103443884
cg27573291;cg27573291;0,074211931;0,071809506;0,091095087;0,106469702;0,110388124;0,108514985
cg02036581;cg02036581;0,034822531;0,038877215;0,039500053;0,053334619;0,037611635;0,052835937
cg20154287;cg20154287;0,152404208;0,156483867;0,171401526;0,146821209;0,189991466;0,159609787
cg04581214;cg04581214;0,225067484;0,189609136;0,230403798;0,258310578;0,221470907;0,247568831
cg01530202;cg01530202;0,279729958;0,257364782;0,29866995;0,278883596;0,275820166;0,282607714
cg12012524;cg12012524;0,496094872;0,493712032;0,514290866;0,536384471;0,512415545;0,514013822
cg27263492;cg27263492;0,29629773;0,282280324;0,282636611;0,292668776;0,26133953;0,242469312
cg21481141;cg21481141;0,505452348;0,459156203;0,483861247;0,469865977;0,475703546;0,512760162
cg13078388;cg13078388;0,051882649;0,056239675;0,042236281;0,055937139;0,049709672;0,048668814
cg01073369;cg01073369;0,025787749;0,019224115;0,02241804;0,016438048;0,015682679;0,011590353
cg16886045;cg16886045;0,036745308;0,029699926;0,027693298;0,027702251;0,029249214;0,031529379
cg22172973;cg22172973;0,011822061;0,010994859;0,017157086;0,00991206;0,014310162;0,008788435
cg07655450;cg07655450;0,047704179;0,040072435;0,03839023;0,045259654;0,041688179;0,050331597
cg01595484;cg01595484;0,04165451;0,035847464;0,034070398;0,043872957;0,036121644;0,041832907
