;names;X206685390167_R02C01;X206685390167_R03C01;X206685390167_R04C01;X206685390167_R05C01;X206685390167_R06C01;X206685390167_R08C01
cg17957172;cg17957172;0,022901048;0,020877118;0,020115078;0,028293921;0,020749276;0,018717009
cg07228817;cg07228817;0,093135055;0,073979108;0,072507525;0,056583811;0,067844717;0,060305835
cg07648738;cg07648738;0,090579993;0,096648255;0,09175876;0,088847938;0,095470117;0,090259332
cg18194038;cg18194038;0,054747263;0,093585054;0,079101858;0,077602556;0,071002094;0,075314851
cg14198101;cg14198101;0,196002675;0,21617911;0,220359396;0,194696927;0,199794946;0,209824202
cg23042318;cg23042318;0,236191938;0,229173731;0,255038431;0,262282229;0,279376875;0,241163231
cg03834909;cg03834909;0,463639388;0,420983456;0,437303836;0,40375015;0,434245617;0,409579159
cg26552621;cg26552621;0,899458449;0,917506087;0,918032709;0,921838463;0,919932903;0,904700017
cg02644867;cg02644867;0,895511376;0,905808007;0,934698155;0,92458941;0,936447278;0,905222979
cg08902698;cg08902698;0,857828241;0,845032347;0,798642952;0,79843422;0,817489651;0,815113894
